datetime,Count1
2025-01-19 00:00:00+00:00,2005
2025-01-26 00:00:00+00:00,1242
2025-02-02 00:00:00+00:00,1580
2025-02-09 00:00:00+00:00,1884
2025-02-16 00:00:00+00:00,3476
2025-02-23 00:00:00+00:00,3087
2025-03-02 00:00:00+00:00,3057
2025-03-09 00:00:00+00:00,2873
2025-03-16 00:00:00+00:00,2180
2025-03-23 00:00:00+00:00,3340
2025-03-30 00:00:00+00:00,2747
2025-04-06 00:00:00+00:00,2491
2025-04-13 00:00:00+00:00,2609
2025-04-20 00:00:00+00:00,2542
2025-04-27 00:00:00+00:00,884
2025-05-04 00:00:00+00:00,0
